ClubName,CurrentRating,OriginCountry,OriginConfederation,DomesticLeagueName,PyramidCountry,PyramidConfederation,DomesticLevel,DomesticLeagueSimName,PyramidCountryFinal,PyramidConfederationFinal
Holbæk B&I,51.9,Denmark,Europe,3. Division,Denmark,Europe,4,3. Division,Denmark,Europe
FA 2000,51.2,Denmark,Europe,3. Division,Denmark,Europe,4,3. Division,Denmark,Europe
Helsingør,50.5,Denmark,Europe,2. Division,Denmark,Europe,3,2. Division,Denmark,Europe
Frem,50.3,Denmark,Europe,3. Division,Denmark,Europe,4,3. Division,Denmark,Europe
Næsby,49.1,Denmark,Europe,3. Division,Denmark,Europe,4,3. Division,Denmark,Europe
Brønshøj,48.9,Denmark,Europe,3. Division,Denmark,Europe,4,3. Division,Denmark,Europe
Hørsholm-Usserød,48.2,Denmark,Europe,3. Division,Denmark,Europe,4,3. Division,Denmark,Europe
Marienlyst,47.9,Denmark,Europe,Denmark Series,Denmark,Europe,5,Denmark Series,Denmark,Europe
Vanløse,47.7,Denmark,Europe,3. Division,Denmark,Europe,4,3. Division,Denmark,Europe
Holstebro,47.5,Denmark,Europe,Denmark Series,Denmark,Europe,5,Denmark Series,Denmark,Europe
Odder,47.3,Denmark,Europe,3. Division,Denmark,Europe,4,3. Division,Denmark,Europe
Vejgaard,47,Denmark,Europe,3. Division,Denmark,Europe,4,3. Division,Denmark,Europe
Esbjerg II,46.7,Denmark,Europe,Denmark Series,Denmark,Europe,5,Denmark Series,Denmark,Europe
Ringsted,46.7,Denmark,Europe,Denmark Series,Denmark,Europe,5,Denmark Series,Denmark,Europe
Lyseng,46.5,Denmark,Europe,3. Division,Denmark,Europe,4,3. Division,Denmark,Europe
ASA Aarhus,46.5,Denmark,Europe,Denmark Series,Denmark,Europe,5,Denmark Series,Denmark,Europe
Avarta,46.3,Denmark,Europe,Denmark Series,Denmark,Europe,5,Denmark Series,Denmark,Europe
SfB-Oure,46.2,Denmark,Europe,Denmark Series,Denmark,Europe,5,Denmark Series,Denmark,Europe
Sundby,45.9,Denmark,Europe,3. Division,Denmark,Europe,4,3. Division,Denmark,Europe
Glostrup,45.4,Denmark,Europe,Denmark Series,Denmark,Europe,5,Denmark Series,Denmark,Europe
Gørslev,45.1,Denmark,Europe,Denmark Series,Denmark,Europe,5,Denmark Series,Denmark,Europe
Tårnby FF,44.7,Denmark,Europe,Denmark Series,Denmark,Europe,5,Denmark Series,Denmark,Europe
LSF,44.2,Denmark,Europe,Denmark Series,Denmark,Europe,5,Denmark Series,Denmark,Europe
Aarhus Fremad II,43.6,Denmark,Europe,Denmark Series,Denmark,Europe,5,Denmark Series,Denmark,Europe
OKS,43.5,Denmark,Europe,Denmark Series,Denmark,Europe,5,Denmark Series,Denmark,Europe
Horsens II,43.1,Denmark,Europe,Denmark Series,Denmark,Europe,5,Denmark Series,Denmark,Europe
Vorup,42.8,Denmark,Europe,Denmark Series,Denmark,Europe,5,Denmark Series,Denmark,Europe
Fredensborg BI,42.5,Denmark,Europe,Denmark Series,Denmark,Europe,5,Denmark Series,Denmark,Europe
Allerød,42.1,Denmark,Europe,Denmark Series,Denmark,Europe,5,Denmark Series,Denmark,Europe
Hedensted,42.1,Denmark,Europe,Denmark Series,Denmark,Europe,5,Denmark Series,Denmark,Europe
Tarup-Paarup,41.8,Denmark,Europe,Denmark Series,Denmark,Europe,5,Denmark Series,Denmark,Europe
Viby,41.2,Denmark,Europe,Denmark Series,Denmark,Europe,5,Denmark Series,Denmark,Europe
Hobro II,41,Denmark,Europe,Denmark Series,Denmark,Europe,5,Denmark Series,Denmark,Europe
Skjold,40.7,Denmark,Europe,Denmark Series,Denmark,Europe,5,Denmark Series,Denmark,Europe
Young Boys,40.6,Denmark,Europe,Denmark Series,Denmark,Europe,5,Denmark Series,Denmark,Europe
Sydkysten,40.6,Denmark,Europe,Denmark Series,Denmark,Europe,5,Denmark Series,Denmark,Europe
Frederikssund,40.5,Denmark,Europe,Denmark Series,Denmark,Europe,5,Denmark Series,Denmark,Europe
Nørresundby,40.4,Denmark,Europe,Denmark Series,Denmark,Europe,5,Denmark Series,Denmark,Europe
Såby,40.2,Denmark,Europe,Denmark Series,Denmark,Europe,5,Denmark Series,Denmark,Europe
Gladsaxe,40.2,Denmark,Europe,Denmark Series,Denmark,Europe,5,Denmark Series,Denmark,Europe
Ringkøbing,39.8,Denmark,Europe,Denmark Series,Denmark,Europe,5,Denmark Series,Denmark,Europe
Espergærde,39.2,Denmark,Europe,Denmark Series,Denmark,Europe,5,Denmark Series,Denmark,Europe
Greve,39,Denmark,Europe,,Denmark,Europe,,,Denmark,Europe
Herlev,38.9,Denmark,Europe,Denmark Series,Denmark,Europe,5,Denmark Series,Denmark,Europe
B 1909,38.9,Denmark,Europe,,Denmark,Europe,,,Denmark,Europe
B 1913,38.7,Denmark,Europe,,Denmark,Europe,,,Denmark,Europe
GVI,38.4,Denmark,Europe,Denmark Series,Denmark,Europe,5,Denmark Series,Denmark,Europe
Skovshoved,38.3,Denmark,Europe,Denmark Series,Denmark,Europe,5,Denmark Series,Denmark,Europe
ØB,37.8,Denmark,Europe,Denmark Series,Denmark,Europe,5,Denmark Series,Denmark,Europe
B 1908,37.6,Denmark,Europe,,Denmark,Europe,,,Denmark,Europe
Hvidovre II,37.1,Denmark,Europe,Denmark Series,Denmark,Europe,5,Denmark Series,Denmark,Europe
Nykøbing II,37,Denmark,Europe,,Denmark,Europe,,,Denmark,Europe
Fuglebakken KFUM,36.9,Denmark,Europe,Denmark Series,Denmark,Europe,5,Denmark Series,Denmark,Europe
VRI,36.7,Denmark,Europe,Denmark Series,Denmark,Europe,5,Denmark Series,Denmark,Europe
Karlslunde,36.7,Denmark,Europe,,Denmark,Europe,,,Denmark,Europe
Middelfart II,36.6,Denmark,Europe,,Denmark,Europe,,,Denmark,Europe
Kjellerup,36.1,Denmark,Europe,,Denmark,Europe,,,Denmark,Europe
Aalborg Freja,36,Denmark,Europe,Denmark Series,Denmark,Europe,5,Denmark Series,Denmark,Europe
AB Tårnby,36,Denmark,Europe,Denmark Series,Denmark,Europe,5,Denmark Series,Denmark,Europe
Næstved II,36,Denmark,Europe,Denmark Series,Denmark,Europe,5,Denmark Series,Denmark,Europe
Grenaa,33.8,Denmark,Europe,,Denmark,Europe,,,Denmark,Europe
ASAS,58.3,Djibouti,Africa,Division 1,Djibouti,Africa,1,Division 1,Djibouti,Africa
Arta / Solar 7,55.3,Djibouti,Africa,Division 1,Djibouti,Africa,1,Division 1,Djibouti,Africa
Port,53.9,Djibouti,Africa,Division 1,Djibouti,Africa,1,Division 1,Djibouti,Africa
GR / SIAF,52.5,Djibouti,Africa,Division 1,Djibouti,Africa,1,Division 1,Djibouti,Africa
Dikhil,52.1,Djibouti,Africa,Division 1,Djibouti,Africa,1,Division 1,Djibouti,Africa
Garde-côtes,52,Djibouti,Africa,Division 1,Djibouti,Africa,1,Division 1,Djibouti,Africa
Gendarmerie,50.9,Djibouti,Africa,Division 1,Djibouti,Africa,1,Division 1,Djibouti,Africa
Arta,49.9,Djibouti,Africa,Division 1,Djibouti,Africa,1,Division 1,Djibouti,Africa
SDC Group / H. Balbala,45.6,Djibouti,Africa,,Djibouti,Africa,,,Djibouti,Africa
Q5 / Nourie Transit,45.4,Djibouti,Africa,,Djibouti,Africa,,,Djibouti,Africa
AJJ / Sapeurs Pompiers,42.9,Djibouti,Africa,Division 1,Djibouti,Africa,1,Division 1,Djibouti,Africa
Obock,42.7,Djibouti,Africa,Division 1,Djibouti,Africa,1,Division 1,Djibouti,Africa
Dublanc,58.3,Dominica,N/C America,DFA Premier League,Dominica,N/C America,1,DFA Premier League,Dominica,N/C America
Mahaut Soca Strikers,55.5,Dominica,N/C America,DFA Premier League,Dominica,N/C America,1,DFA Premier League,Dominica,N/C America
Bombers,55.2,Dominica,N/C America,DFA Premier League,Dominica,N/C America,1,DFA Premier League,Dominica,N/C America
WE United,53.7,Dominica,N/C America,DFA Premier League,Dominica,N/C America,1,DFA Premier League,Dominica,N/C America
South East,53.1,Dominica,N/C America,DFA Premier League,Dominica,N/C America,1,DFA Premier League,Dominica,N/C America
Harlem United,52.8,Dominica,N/C America,DFA Premier League,Dominica,N/C America,1,DFA Premier League,Dominica,N/C America
Middleham United,51.4,Dominica,N/C America,DFA Premier League,Dominica,N/C America,1,DFA Premier League,Dominica,N/C America
East Central,48.9,Dominica,N/C America,DFA Premier League,Dominica,N/C America,1,DFA Premier League,Dominica,N/C America
Pointe Michel,48.1,Dominica,N/C America,DFA Premier League,Dominica,N/C America,1,DFA Premier League,Dominica,N/C America
DS,45.7,Dominica,N/C America,DFA Premier League,Dominica,N/C America,1,DFA Premier League,Dominica,N/C America
Cibao,67.8,Dominican Republic,N/C America,Liga Mayor,Dominican Republic,N/C America,1,Liga Mayor,Dominican Republic,N/C America
Atlético Pantoja,66.1,Dominican Republic,N/C America,Liga Mayor,Dominican Republic,N/C America,1,Liga Mayor,Dominican Republic,N/C America
Moca,63.2,Dominican Republic,N/C America,Liga Mayor,Dominican Republic,N/C America,1,Liga Mayor,Dominican Republic,N/C America
Salcedo,62.4,Dominican Republic,N/C America,Liga Mayor,Dominican Republic,N/C America,1,Liga Mayor,Dominican Republic,N/C America
Universidad O&M,62.2,Dominican Republic,N/C America,Liga Mayor,Dominican Republic,N/C America,1,Liga Mayor,Dominican Republic,N/C America
Delfines Del Este,61.8,Dominican Republic,N/C America,Liga Mayor,Dominican Republic,N/C America,1,Liga Mayor,Dominican Republic,N/C America
Atlántico,59.9,Dominican Republic,N/C America,Liga Mayor,Dominican Republic,N/C America,1,Liga Mayor,Dominican Republic,N/C America
Vega Real,59.2,Dominican Republic,N/C America,Liga Mayor,Dominican Republic,N/C America,1,Liga Mayor,Dominican Republic,N/C America
Jarabacoa,57.9,Dominican Republic,N/C America,Liga Mayor,Dominican Republic,N/C America,1,Liga Mayor,Dominican Republic,N/C America
San Cristóbal,49,Dominican Republic,N/C America,Liga Mayor,Dominican Republic,N/C America,1,Liga Mayor,Dominican Republic,N/C America
LDU Quito,79.3,Ecuador,South America,Liga Pro,Ecuador,South America,1,Liga Pro,Ecuador,South America
Independiente Valle,79,Ecuador,South America,Liga Pro,Ecuador,South America,1,Liga Pro,Ecuador,South America
Universidad Católica,76.4,Ecuador,South America,Liga Pro,Ecuador,South America,1,Liga Pro,Ecuador,South America
Barcelona,75.8,Ecuador,South America,Liga Pro,Ecuador,South America,1,Liga Pro,Ecuador,South America
Macará,75.6,Ecuador,South America,Liga Pro,Ecuador,South America,1,Liga Pro,Ecuador,South America
Orense,73.8,Ecuador,South America,Liga Pro,Ecuador,South America,1,Liga Pro,Ecuador,South America
Libertad,73.6,Ecuador,South America,Liga Pro,Ecuador,South America,1,Liga Pro,Ecuador,South America
Aucas,73.6,Ecuador,South America,Liga Pro,Ecuador,South America,1,Liga Pro,Ecuador,South America
Deportivo Cuenca,73.2,Ecuador,South America,Liga Pro,Ecuador,South America,1,Liga Pro,Ecuador,South America
Emelec,72.2,Ecuador,South America,Liga Pro,Ecuador,South America,1,Liga Pro,Ecuador,South America
Mushuc Runa,72.2,Ecuador,South America,Liga Pro,Ecuador,South America,1,Liga Pro,Ecuador,South America
El Nacional,71,Ecuador,South America,Liga Pro,Ecuador,South America,1,Liga Pro,Ecuador,South America
Manta,70.8,Ecuador,South America,Liga Pro,Ecuador,South America,1,Liga Pro,Ecuador,South America
Guayaquil City,70,Ecuador,South America,Liga Pro Serie B,Ecuador,South America,2,Liga Pro Serie B,Ecuador,South America
Técnico Universitario,69.6,Ecuador,South America,Liga Pro,Ecuador,South America,1,Liga Pro,Ecuador,South America
Vinotinto de Ecuador,69.2,Ecuador,South America,Liga Pro,Ecuador,South America,1,Liga Pro,Ecuador,South America
Delfín,68.9,Ecuador,South America,Liga Pro,Ecuador,South America,1,Liga Pro,Ecuador,South America
Leones,67.1,Ecuador,South America,Liga Pro Serie B,Ecuador,South America,2,Liga Pro Serie B,Ecuador,South America
Independiente Juniors,66.8,Ecuador,South America,Liga Pro Serie B,Ecuador,South America,2,Liga Pro Serie B,Ecuador,South America
9 de Octubre,65.9,Ecuador,South America,Liga Pro Serie B,Ecuador,South America,2,Liga Pro Serie B,Ecuador,South America
Atlético Vinotinto,65.3,Ecuador,South America,Liga Pro Serie B,Ecuador,South America,2,Liga Pro Serie B,Ecuador,South America
Vargas Torres,65,Ecuador,South America,Liga Pro Serie B,Ecuador,South America,2,Liga Pro Serie B,Ecuador,South America
Cumbayá,64.3,Ecuador,South America,Liga Pro Serie B,Ecuador,South America,2,Liga Pro Serie B,Ecuador,South America
San Antonio,64.3,Ecuador,South America,Liga Pro Serie B,Ecuador,South America,2,Liga Pro Serie B,Ecuador,South America
Gualaceo,64,Ecuador,South America,Liga Pro Serie B,Ecuador,South America,2,Liga Pro Serie B,Ecuador,South America
La Unión,63.6,Ecuador,South America,,Ecuador,South America,,,Ecuador,South America
Imbabura,63.4,Ecuador,South America,Liga Pro Serie B,Ecuador,South America,2,Liga Pro Serie B,Ecuador,South America
22 de Julio,62,Ecuador,South America,Liga Pro Serie B,Ecuador,South America,2,Liga Pro Serie B,Ecuador,South America
LDU Portoviejo,61.8,Ecuador,South America,,Ecuador,South America,,,Ecuador,South America
Mineros,61.6,Ecuador,South America,,Ecuador,South America,,,Ecuador,South America
Olmedo,61.4,Ecuador,South America,,Ecuador,South America,,,Ecuador,South America
Juventud Italiana,61.3,Ecuador,South America,,Ecuador,South America,,,Ecuador,South America
Deportivo Cuenca Juniors,61.3,Ecuador,South America,,Ecuador,South America,,,Ecuador,South America
Daquilema,60.3,Ecuador,South America,,Ecuador,South America,,,Ecuador,South America
Astillero,60,Ecuador,South America,,Ecuador,South America,,,Ecuador,South America
Naranja Mekánica,59.9,Ecuador,South America,,Ecuador,South America,,,Ecuador,South America
Chacaritas,59.6,Ecuador,South America,Liga Pro Serie B,Ecuador,South America,2,Liga Pro Serie B,Ecuador,South America
Baños Ciudad de Fuego,59.4,Ecuador,South America,,Ecuador,South America,,,Ecuador,South America
Aampetra,59.4,Ecuador,South America,,Ecuador,South America,,,Ecuador,South America
11 de Mayo,59.2,Ecuador,South America,,Ecuador,South America,,,Ecuador,South America
Primero Mayo de Yantzaza,59,Ecuador,South America,,Ecuador,South America,,,Ecuador,South America
Búhos ULVR,59,Ecuador,South America,,Ecuador,South America,,,Ecuador,South America
Aviced,58.9,Ecuador,South America,,Ecuador,South America,,,Ecuador,South America
Deportivo Quito,58.9,Ecuador,South America,,Ecuador,South America,,,Ecuador,South America
Miguel Iturralde,58.8,Ecuador,South America,,Ecuador,South America,,,Ecuador,South America
Tumbaco AV25,58.8,Ecuador,South America,,Ecuador,South America,,,Ecuador,South America
Cantera Orense,58.8,Ecuador,South America,,Ecuador,South America,,,Ecuador,South America
Huaquillas,58.7,Ecuador,South America,,Ecuador,South America,,,Ecuador,South America
Atlético JBG,58.4,Ecuador,South America,,Ecuador,South America,,,Ecuador,South America
Africando,58.4,Ecuador,South America,,Ecuador,South America,,,Ecuador,South America
Santo Domingo,58.4,Ecuador,South America,,Ecuador,South America,,,Ecuador,South America
Luz Valdivia,58.3,Ecuador,South America,,Ecuador,South America,,,Ecuador,South America
Patria,58.3,Ecuador,South America,,Ecuador,South America,,,Ecuador,South America
Guaranda,58.2,Ecuador,South America,,Ecuador,South America,,,Ecuador,South America
Milagro,58.2,Ecuador,South America,,Ecuador,South America,,,Ecuador,South America
Sancor,58,Ecuador,South America,,Ecuador,South America,,,Ecuador,South America
UDJ Quinindé,57.9,Ecuador,South America,,Ecuador,South America,,,Ecuador,South America
LDU de El Carmin,57.9,Ecuador,South America,,Ecuador,South America,,,Ecuador,South America
Loja City,57.8,Ecuador,South America,,Ecuador,South America,,,Ecuador,South America
Patrón Mejía,57.8,Ecuador,South America,,Ecuador,South America,,,Ecuador,South America
Wahlex,57.7,Ecuador,South America,,Ecuador,South America,,,Ecuador,South America
Pelileo,57.7,Ecuador,South America,,Ecuador,South America,,,Ecuador,South America
Ferrocarril Oeste,57.6,Ecuador,South America,,Ecuador,South America,,,Ecuador,South America
Deportivo Cotapaxi,57.6,Ecuador,South America,,Ecuador,South America,,,Ecuador,South America
Corinthian's de Los Rios,57.6,Ecuador,South America,,Ecuador,South America,,,Ecuador,South America
La Troncal FC,57.5,Ecuador,South America,,Ecuador,South America,,,Ecuador,South America
Insutec,57.5,Ecuador,South America,,Ecuador,South America,,,Ecuador,South America
Liga de Cuenca,57.5,Ecuador,South America,,Ecuador,South America,,,Ecuador,South America
San Pedro del Pongo,57.5,Ecuador,South America,,Ecuador,South America,,,Ecuador,South America
Atlético Samborondón,57.5,Ecuador,South America,,Ecuador,South America,,,Ecuador,South America
Real Puerto Quito,57.4,Ecuador,South America,,Ecuador,South America,,,Ecuador,South America
Club Patria,57.4,Ecuador,South America,,Ecuador,South America,,,Ecuador,South America
Politécnico de Manabí,57.3,Ecuador,South America,,Ecuador,South America,,,Ecuador,South America
La Provincia Verde,57.2,Ecuador,South America,,Ecuador,South America,,,Ecuador,South America
Deportivo Ibarra,57.2,Ecuador,South America,,Ecuador,South America,,,Ecuador,South America
Deportivo Panamericana,57.2,Ecuador,South America,,Ecuador,South America,,,Ecuador,South America
Anaconda,57.1,Ecuador,South America,,Ecuador,South America,,,Ecuador,South America
Nazareno,56.9,Ecuador,South America,,Ecuador,South America,,,Ecuador,South America
Río Aguarico,56.9,Ecuador,South America,,Ecuador,South America,,,Ecuador,South America
Estrella Roja,56.8,Ecuador,South America,,Ecuador,South America,,,Ecuador,South America
Ciudadelas Del Norte,56.8,Ecuador,South America,,Ecuador,South America,,,Ecuador,South America
Santos,56.7,Ecuador,South America,,Ecuador,South America,,,Ecuador,South America
Santa Fe,56.7,Ecuador,South America,,Ecuador,South America,,,Ecuador,South America
Santiago de Píllaro,56.5,Ecuador,South America,,Ecuador,South America,,,Ecuador,South America
La Cantera de Pastaza,56.5,Ecuador,South America,,Ecuador,South America,,,Ecuador,South America
Exapromo Costa,56.3,Ecuador,South America,,Ecuador,South America,,,Ecuador,South America
Dunamis 04,56.3,Ecuador,South America,,Ecuador,South America,,,Ecuador,South America
Atlético Manabí,56.3,Ecuador,South America,,Ecuador,South America,,,Ecuador,South America
Atlético Kin,56,Ecuador,South America,,Ecuador,South America,,,Ecuador,South America
Independiente Azogues,55.9,Ecuador,South America,,Ecuador,South America,,,Ecuador,South America
Deportivo Azogues,55.4,Ecuador,South America,,Ecuador,South America,,,Ecuador,South America
Santa Elena Sporting,54.9,Ecuador,South America,,Ecuador,South America,,,Ecuador,South America
Al Ahly,81.3,Egypt,Africa,Premier League,Egypt,Africa,1,Premier League,Egypt,Africa
Pyramids,80,Egypt,Africa,Premier League,Egypt,Africa,1,Premier League,Egypt,Africa
Zamalek,77.8,Egypt,Africa,Premier League,Egypt,Africa,1,Premier League,Egypt,Africa
Al Masry,75.5,Egypt,Africa,Premier League,Egypt,Africa,1,Premier League,Egypt,Africa
Ceramica Cleopatra,75.5,Egypt,Africa,Premier League,Egypt,Africa,1,Premier League,Egypt,Africa
National Bank of Egypt,74.8,Egypt,Africa,Premier League,Egypt,Africa,1,Premier League,Egypt,Africa
ZED,72.9,Egypt,Africa,Premier League,Egypt,Africa,1,Premier League,Egypt,Africa
Petrojet,72.3,Egypt,Africa,Premier League,Egypt,Africa,1,Premier League,Egypt,Africa
Modern,72.3,Egypt,Africa,Premier League,Egypt,Africa,1,Premier League,Egypt,Africa
Wadi Degla,72.2,Egypt,Africa,Premier League,Egypt,Africa,1,Premier League,Egypt,Africa
ENPPI,72.2,Egypt,Africa,Premier League,Egypt,Africa,1,Premier League,Egypt,Africa
El Gouna,72,Egypt,Africa,Premier League,Egypt,Africa,1,Premier League,Egypt,Africa
Smouha,71.3,Egypt,Africa,Premier League,Egypt,Africa,1,Premier League,Egypt,Africa
El Qanah,70.6,Egypt,Africa,Second Division A,Egypt,Africa,2,Second Division A,Egypt,Africa
El Gaish,70.2,Egypt,Africa,Premier League,Egypt,Africa,1,Premier League,Egypt,Africa
Abu Qair Semad,70,Egypt,Africa,Second Division A,Egypt,Africa,2,Second Division A,Egypt,Africa
Ghazl El Mahalla,69.8,Egypt,Africa,Premier League,Egypt,Africa,1,Premier League,Egypt,Africa
Al Mokawloon,69.6,Egypt,Africa,Premier League,Egypt,Africa,1,Premier League,Egypt,Africa
Pharco,69.4,Egypt,Africa,Premier League,Egypt,Africa,1,Premier League,Egypt,Africa
Kahraba Ismailia,68.9,Egypt,Africa,Premier League,Egypt,Africa,1,Premier League,Egypt,Africa
Al Ittihad,68.2,Egypt,Africa,Premier League,Egypt,Africa,1,Premier League,Egypt,Africa
Haras El Hodood,67.9,Egypt,Africa,Premier League,Egypt,Africa,1,Premier League,Egypt,Africa
Asyut Petrol,67.8,Egypt,Africa,Second Division A,Egypt,Africa,2,Second Division A,Egypt,Africa
Ismaily,66.8,Egypt,Africa,Premier League,Egypt,Africa,1,Premier League,Egypt,Africa
Masar,66.2,Egypt,Africa,Second Division A,Egypt,Africa,2,Second Division A,Egypt,Africa
WE,66,Egypt,Africa,Second Division A,Egypt,Africa,2,Second Division A,Egypt,Africa
El Sekka El Hadid,65.8,Egypt,Africa,Second Division A,Egypt,Africa,2,Second Division A,Egypt,Africa
Proxy,65.2,Egypt,Africa,Second Division A,Egypt,Africa,2,Second Division A,Egypt,Africa
La Viena FC,65.1,Egypt,Africa,Second Division A,Egypt,Africa,2,Second Division A,Egypt,Africa
El Mansura,64.6,Egypt,Africa,Second Division A,Egypt,Africa,2,Second Division A,Egypt,Africa
Tersana,64.3,Egypt,Africa,Second Division A,Egypt,Africa,2,Second Division A,Egypt,Africa
Maleyet Kafr El Zayiat,63.8,Egypt,Africa,Second Division A,Egypt,Africa,2,Second Division A,Egypt,Africa
El Dakhleya,63.5,Egypt,Africa,Second Division A,Egypt,Africa,2,Second Division A,Egypt,Africa
Baladiyyat Al Mehalla,63.2,Egypt,Africa,Second Division A,Egypt,Africa,2,Second Division A,Egypt,Africa
Tanta,63.1,Egypt,Africa,Second Division A,Egypt,Africa,2,Second Division A,Egypt,Africa
Aswan,63.1,Egypt,Africa,Second Division A,Egypt,Africa,2,Second Division A,Egypt,Africa
Dayrout,63,Egypt,Africa,Second Division A,Egypt,Africa,2,Second Division A,Egypt,Africa
El Entag El Harby,63,Egypt,Africa,Second Division A,Egypt,Africa,2,Second Division A,Egypt,Africa
Raya Ghazl,61.6,Egypt,Africa,Second Division A,Egypt,Africa,2,Second Division A,Egypt,Africa
Sporting Alexandria,61.2,Egypt,Africa,,Egypt,Africa,,,Egypt,Africa
Suez,60.6,Egypt,Africa,,Egypt,Africa,,,Egypt,Africa
Firpo,70.1,El Salvador,N/C America,Primera Division,El Salvador,N/C America,1,Primera Division,El Salvador,N/C America
Alianza,68.7,El Salvador,N/C America,Primera Division,El Salvador,N/C America,1,Primera Division,El Salvador,N/C America
Águila,66.7,El Salvador,N/C America,Primera Division,El Salvador,N/C America,1,Primera Division,El Salvador,N/C America
FAS,66.6,El Salvador,N/C America,Primera Division,El Salvador,N/C America,1,Primera Division,El Salvador,N/C America
Isidro Metapán,65.6,El Salvador,N/C America,Primera Division,El Salvador,N/C America,1,Primera Division,El Salvador,N/C America
Municipal Limeño,63.8,El Salvador,N/C America,Primera Division,El Salvador,N/C America,1,Primera Division,El Salvador,N/C America
Cacahuatique,62.3,El Salvador,N/C America,Primera Division,El Salvador,N/C America,1,Primera Division,El Salvador,N/C America
Inter FA,61.6,El Salvador,N/C America,Primera Division,El Salvador,N/C America,1,Primera Division,El Salvador,N/C America
Platense,60.8,El Salvador,N/C America,Primera Division,El Salvador,N/C America,1,Primera Division,El Salvador,N/C America
Fuerte San Francisco,59.8,El Salvador,N/C America,Primera Division,El Salvador,N/C America,1,Primera Division,El Salvador,N/C America
Once Deportivo,59.5,El Salvador,N/C America,,El Salvador,N/C America,,,El Salvador,N/C America
Zacatecoluca,59.1,El Salvador,N/C America,Primera Division,El Salvador,N/C America,1,Primera Division,El Salvador,N/C America
Dragón,59,El Salvador,N/C America,,El Salvador,N/C America,,,El Salvador,N/C America
Hércules,57.1,El Salvador,N/C America,Primera Division,El Salvador,N/C America,1,Primera Division,El Salvador,N/C America
Arsenal,100,England,Europe,Premier League,England,Europe,1,Premier League,England,Europe
Manchester City,96.2,England,Europe,Premier League,England,Europe,1,Premier League,England,Europe
Liverpool,95.4,England,Europe,Premier League,England,Europe,1,Premier League,England,Europe
Aston Villa,95.3,England,Europe,Premier League,England,Europe,1,Premier League,England,Europe
Chelsea,94.7,England,Europe,Premier League,England,Europe,1,Premier League,England,Europe
Newcastle United,92.6,England,Europe,Premier League,England,Europe,1,Premier League,England,Europe
Manchester United,92.3,England,Europe,Premier League,England,Europe,1,Premier League,England,Europe
Brighton & Hove Albion,91.7,England,Europe,Premier League,England,Europe,1,Premier League,England,Europe
Brentford,91.5,England,Europe,Premier League,England,Europe,1,Premier League,England,Europe
AFC Bournemouth,91.1,England,Europe,Premier League,England,Europe,1,Premier League,England,Europe
Tottenham Hotspur,90.9,England,Europe,Premier League,England,Europe,1,Premier League,England,Europe
Everton,90,England,Europe,Premier League,England,Europe,1,Premier League,England,Europe
Fulham,90,England,Europe,Premier League,England,Europe,1,Premier League,England,Europe
Crystal Palace,89.8,England,Europe,Premier League,England,Europe,1,Premier League,England,Europe
Nottingham Forest,89,England,Europe,Premier League,England,Europe,1,Premier League,England,Europe
Leeds United,87.7,England,Europe,Premier League,England,Europe,1,Premier League,England,Europe
Sunderland,87.5,England,Europe,Premier League,England,Europe,1,Premier League,England,Europe
West Ham United,86.5,England,Europe,Premier League,England,Europe,1,Premier League,England,Europe
Burnley,85,England,Europe,Premier League,England,Europe,1,Premier League,England,Europe
Wolverhampton Wanderers,84.2,England,Europe,Premier League,England,Europe,1,Premier League,England,Europe
Ipswich Town,83.3,England,Europe,Championship,England,Europe,2,Championship,England,Europe
Coventry City,83.2,England,Europe,Championship,England,Europe,2,Championship,England,Europe
Middlesbrough,82.7,England,Europe,Championship,England,Europe,2,Championship,England,Europe
Hull City,81.7,England,Europe,Championship,England,Europe,2,Championship,England,Europe
Sheffield United,81.1,England,Europe,Championship,England,Europe,2,Championship,England,Europe
Millwall,80.9,England,Europe,Championship,England,Europe,2,Championship,England,Europe
Southampton,80.8,England,Europe,Championship,England,Europe,2,Championship,England,Europe
Derby County,80.5,England,Europe,Championship,England,Europe,2,Championship,England,Europe
Birmingham City,80.1,England,Europe,Championship,England,Europe,2,Championship,England,Europe
Bristol City,79.5,England,Europe,Championship,England,Europe,2,Championship,England,Europe
Queens Park Rangers,79.4,England,Europe,Championship,England,Europe,2,Championship,England,Europe
Preston North End,79.4,England,Europe,Championship,England,Europe,2,Championship,England,Europe
Leicester City,79.3,England,Europe,Championship,England,Europe,2,Championship,England,Europe
Stoke City,79.2,England,Europe,Championship,England,Europe,2,Championship,England,Europe
Norwich City,79,England,Europe,Championship,England,Europe,2,Championship,England,Europe
Watford,78.9,England,Europe,Championship,England,Europe,2,Championship,England,Europe
Portsmouth,78.3,England,Europe,Championship,England,Europe,2,Championship,England,Europe
Charlton Athletic,78.1,England,Europe,Championship,England,Europe,2,Championship,England,Europe
Lincoln City,77.6,England,Europe,League One,England,Europe,3,League One,England,Europe
Blackburn Rovers,77.4,England,Europe,Championship,England,Europe,2,Championship,England,Europe
West Bromwich Albion,77.3,England,Europe,Championship,England,Europe,2,Championship,England,Europe
Stockport County,76.7,England,Europe,League One,England,Europe,3,League One,England,Europe
Oxford United,76.6,England,Europe,Championship,England,Europe,2,Championship,England,Europe
Bolton Wanderers,75.7,England,Europe,League One,England,Europe,3,League One,England,Europe
